Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__P00761	CON__P00761	4	4	4				1	4	4	4	25.1	25.1	25.1	24.409	231	231	0	94.165	NaN	NaN	NaN	0	0	Median	59298000000	59298000000	0			+	0	5325;7380;8447;13650	True;True;True;True	5373;5374;7442;8523;13804	16253;16254;16255;16256;16257;16258;16259;16260;16261;16262;16263;16264;16265;22254;22255;22256;22257;22258;25639;25640;41599;41600	29813;29814;29815;29816;29817;29818;29819;29820;29821;29822;29823;29824;29825;29826;29827;29828;29829;29830;29831;29832;29833;29834;29835;29836;40381;40382;40383;40384;40385;40386;40387;40388;40389;40390;40391;40392;40393;40394;40395;46523;46524;75127;75128;75129;75130	29826;40386;46523;75128	0	94	-1
CON__P02533;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q04695;CON__Q6IFX2	CON__P02533;CON__Q9Z2K1;CON__Q3ZAW8	4;2;2;1;1	3;1;1;1;1	2;0;0;1;1			;;	5	4	3	2	11	9.1	6.4	51.621	472	472;469;474;432;452	0	5.3654	NaN	NaN	NaN	0	0	Median	219930000	219930000	0			+	1	129;1019;5496;14571	True;True;True;False	130;1032;5545;14732	589;590;3383;3384;16786;16787;44441;44442	1033;1034;1035;6306;6307;30744;30745;80625;80626	1033;6306;30744;80625			-1;-1;-1;-1;-1
CON__P48668;CON__P04259;CON__P02538;CON__O95678;CON__Q8VED5;CON__P12035	CON__P48668;CON__P04259;CON__P02538	7;7;7;3;2;1	5;5;5;1;1;1	1;1;1;0;0;0			;;	6	7	5	1	14.9	11.2	2.5	60.024	564	564;564;564;551;531;629	0	6.5574	NaN	NaN	NaN	0	0	Median	77369000	77369000	0			+	2	1056;6601;8291;9633;10482;12054;12435	True;False;True;False;True;True;True	1069;6659;8365;9733;10593;12184;12568	3474;20073;25123;29207;31549;31550;36207;37413	6478;36611;45595;52969;57204;57205;65337;67600	6478;36611;45595;52969;57204;65337;67600			-1;-1;-1;-1;-1;-1
CON__P02662	CON__P02662	2	2	2				1	2	2	2	11.1	11.1	11.1	22.975	199	199	0.0019812	2.4434	NaN	NaN	NaN	0	0	Median	39472000	39472000	0			+	3	3032;15207	True;True	3061;15373	9668;46512;46513;46514;46515	17652;84463;84464;84465;84466;84467	17652;84463			-1
CON__P02769;CON__P02768-1	CON__P02769	13;1	13;1	13;1				2	13	13	13	32.6	32.6	32.6	69.293	607	607;609	0	48.82	NaN	NaN	NaN	0	0	Median	3401800000	3401800000	0			+	4	3164;4678;6895;7385;7672;9070;10574;10861;11408;11740;13930;15118;15271	True;True;True;True;True;True;True;True;True;True;True;True;True	3193;4719;6955;7447;7739;9160;10685;10976;11528;11868;14085;15283;15437	9969;9970;9971;9972;14356;20841;20842;20843;22275;22276;23134;27569;27570;27571;27572;27573;27574;27575;27576;31808;31809;32493;32494;32495;34137;34138;34139;34140;35259;35260;35261;35262;42508;42509;46194;46195;46663	18198;18199;18200;18201;26350;37870;37871;37872;40440;40441;40442;42036;49977;49978;49979;49980;49981;49982;49983;49984;49985;49986;57645;57646;58769;58770;58771;58772;61605;61606;61607;61608;61609;61610;63652;63653;63654;63655;76867;76868;83884;83885;83886;84730	18200;26350;37870;40441;42036;49986;57645;58769;61605;63655;76868;83886;84730			-1;-1
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q9R0H5;CON__Q6IFZ6;CON__Q7Z794	CON__P04264	18;2;1;1;1	18;2;1;1;1	15;1;0;0;0				5	18	18	15	38.4	38.4	33.1	66.017	644	644;606;524;572;578	0	91.409	NaN	NaN	NaN	0	0	Median	7517600000	7517600000	0			+	5	3214;3774;4215;4267;8292;9601;9602;9926;10362;10363;11582;11682;11778;12801;12802;13130;14771;14992	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3243;3805;4249;4301;8366;9701;9702;10032;10471;10472;11706;11810;11906;12942;12943;13273;14934;15157	10098;10099;11639;11640;12870;13014;13015;25124;25125;25126;25127;29119;29120;29121;29122;30100;30101;30102;31237;31238;31239;31240;31241;34783;34784;35073;35074;35075;35338;35339;38822;38823;38824;38825;38826;38827;38828;38829;38830;38831;38832;39878;39879;39880;45082;45083;45084;45841;45842	18413;18414;21300;21301;23549;23821;23822;23823;45596;45597;45598;45599;52809;52810;52811;52812;54617;54618;54619;56641;56642;56643;56644;56645;56646;56647;56648;62794;62795;63291;63292;63293;63294;63295;63296;63297;63298;63780;63781;63782;63783;63784;70151;70152;70153;70154;70155;70156;70157;70158;70159;70160;70161;70162;70163;70164;70165;70166;72007;72008;72009;72010;81935;81936;81937;83253;83254	18413;21300;23549;23821;45596;52810;52812;54619;56641;56646;62795;63296;63780;70161;70166;72009;81936;83254			-1;-1;-1;-1;-1
CON__P08779	CON__P08779	3	1	1				1	3	1	1	8.5	3.8	3.8	51.267	473	473	0.00053619	3.5618	NaN	NaN	NaN	0	0	Median	12127000	12127000	0			+	6	1019;12581;14571	False;True;False	1032;12716;14732	3383;3384;37898;37899;44441;44442	6306;6307;68476;68477;80625;80626	6306;68477;80625			-1
CON__P13645;CON__P02535-1;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y9;CON__Q7Z3Y7	CON__P13645	13;3;1;1;1;1;1	13;3;1;1;1;1;1	12;2;0;0;0;0;0				7	13	13	12	30.2	30.2	28.7	59.51	593	593;570;450;459;464;468;486	0	156.59	NaN	NaN	NaN	0	0	Median	2586500000	2586500000	0			+	7	130;131;617;2462;4252;6667;7261;9472;10073;11755;12051;14571;14942	True;True;True;True;True;True;True;True;True;True;True;True;True	131;132;133;627;2486;4286;6725;7322;9569;10180;11883;12181;14732;15107	591;592;593;594;595;596;597;598;599;600;2160;2161;7847;12980;12981;20260;21840;28773;28774;30488;30489;35288;36195;36196;36197;36198;44441;44442;45677;45678;45679;45680	1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;4071;4072;4073;14327;23763;23764;36918;39646;52220;52221;55342;55343;63692;65317;65318;65319;65320;65321;80625;80626;82999;83000;83001;83002	1039;1040;4071;14327;23763;36918;39646;52220;55342;63692;65317;80625;83002	1;2	271;291	-1;-1;-1;-1;-1;-1;-1
CON__P13646-1;CON__ENSEMBL:ENSP00000377550	CON__P13646-1;CON__ENSEMBL:ENSP00000377550	2;1	2;1	2;1			;	2	2	2	2	9	9	9	49.586	458	458;420	1	-2	NaN	NaN	NaN	0	0	Median	49946000	0	49946000	+		+	8	334;1377	True;True	337;1391	1296;4524	2368;8379	2368;8379	3	313	-1;-1
CON__P21752	CON__P21752	1	1	1				1	1	1	1	35.7	35.7	35.7	4.8054	42	42	1	-2	NaN	NaN	NaN	0	0	Median	33739000	33739000	0	+		+	9	8795	True	8871	26673	48377	48377	4	1	-1
