Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__P00761	CON__P00761	4	4	4				1	4	4	4	25.1	25.1	25.1	24.409	231	231	0	64.528	NaN	NaN	NaN	0	0	Median	51780000000	51780000000	0			+	0	5621;7709;8828;14227	True;True;True;True	5670;5671;7773;8904;14371	16782;16783;16784;16785;16786;16787;16788;16789;16790;16791;16792;16793;16794;16795;16796;22835;22836;22837;22838;22839;22840;22841;26338;42743;42744;42745;42746	30737;30738;30739;30740;30741;30742;30743;30744;30745;30746;30747;30748;30749;30750;30751;30752;30753;30754;30755;30756;41159;41160;41161;41162;41163;41164;41165;41166;41167;41168;41169;41170;41171;41172;41173;41174;41175;47446;76484;76485;76486;76487;76488;76489	30746;41161;47446;76489	0	94	-1
CON__P02533;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2	CON__P02533;CON__Q04695;CON__Q9QWL7	6;3;3;2	4;2;2;1	4;2;2;1			;;	4	6	4	4	12.3	8.9	8.9	51.621	472	472;432;433;452	0	4.4064	NaN	NaN	NaN	0	0	Median	287670000	287670000	0			+	1	131;132;2911;7298;9885;15196	True;True;True;False;True;False	132;133;2940;7361;9983;15345	560;561;562;9064;9065;21636;21637;29475;29476;45757;45758	975;976;977;16516;16517;39084;39085;53014;53015;82091;82092	975;977;16517;39084;53015;82091			-1;-1;-1;-1
CON__P48668;CON__P04259;CON__P02538;CON__P12035	CON__P48668;CON__P04259;CON__P02538	6;6;6;1	4;4;4;1	0;0;0;0			;;	4	6	4	0	11.7	8.3	0	60.024	564	564;564;564;629	0	9.1823	NaN	NaN	NaN	0	0	Median	176150000	176150000	0			+	2	6923;8670;10047;10951;12988;15488	False;True;False;True;True;True	6981;8745;10147;11062;13118;15640	20641;25841;29911;29912;29913;29914;32539;32540;38405;38406;46671;46672	37435;46542;53742;53743;53744;53745;58405;58406;58407;58408;58409;68739;68740;83863;83864	37435;46542;53744;58409;68739;83863			-1;-1;-1;-1
CON__P02662	CON__P02662	3	3	3				1	3	3	3	16.6	16.6	16.6	22.975	199	199	0	2.2858	NaN	NaN	NaN	0	0	Median	147990000	147990000	0			+	3	3241;4906;15866	True;True;True	3271;4947;16020	10103;10104;14758;14759;47800;47801	18505;18506;27062;27063;85845;85846	18506;27062;85845			-1
CON__P02668	CON__P02668	1	1	1				1	1	1	1	10.7	10.7	10.7	18.974	169	169	0.00096852	1.9723	NaN	NaN	NaN	0	0	Median	0	0	0			+	4	12462	True	12590	36866	66061	66061			-1
CON__P02769;CON__P02768-1	CON__P02769	18;2	18;2	18;2				2	18	18	18	42.3	42.3	42.3	69.293	607	607;609	0	52.431	NaN	NaN	NaN	1	0	Median	2595700000	2551300000	44382000			+	5	1337;3383;4969;7224;7715;7997;9053;9101;9470;11051;11339;11912;12264;13128;14067;14535;15769;15941	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1353;3413;5011;7284;7779;8064;9130;9178;9560;11162;11452;12029;12388;13258;14207;14680;15922;16095	4319;10417;10418;14916;21407;21408;21409;22856;22857;23774;23775;23776;27036;27037;27189;28279;28280;28281;28282;28283;28284;32793;33485;33486;33487;33488;35176;35177;36280;36281;36282;38831;38832;42241;42242;43743;43744;47490;47491;47492;47981	8035;19049;19050;27334;38657;38658;38659;41218;41219;42912;42913;42914;48656;48657;48908;50870;50871;50872;50873;50874;50875;50876;50877;50878;58849;60011;60012;60013;60014;62952;62953;62954;62955;62956;64947;64948;64949;64950;69529;69530;75517;75518;78323;78324;78325;85298;85299;85300;86143	8035;19049;27334;38658;41219;42913;48656;48908;50873;58849;60014;62954;64950;69529;75517;78325;85298;86143			-1;-1
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__P05787;CON__Q8VED5	CON__P04264	24;5;2;1;1;1	24;5;2;1;1;1	17;3;0;0;0;0				6	24	24	17	42.1	42.1	33.4	66.017	644	644;606;572;99;483;531	0	141.24	NaN	NaN	NaN	0	0	Median	10012000000	10012000000	0			+	6	168;3429;4018;4558;5330;8265;8671;8672;10029;10047;10204;10359;10811;10812;12093;12190;12300;12301;13367;13368;13610;13717;15400;15642	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	170;3459;4050;4593;5378;8334;8746;8747;10129;10147;10307;10465;10919;10920;12214;12314;12424;12425;13500;13501;13745;13853;15551;15795	665;10524;10525;12116;12117;12118;13563;15910;24543;25842;25843;29867;29868;29869;29911;29912;29913;29914;30474;30475;30925;32183;32184;32185;32186;32187;32188;32189;35795;35796;35797;35798;36076;36077;36353;36354;36355;39821;39822;39823;39824;39825;39826;39827;39828;39829;39830;39831;39832;39833;39834;39835;40589;40982;40983;40984;40985;46391;46392;46393;46394;47114;47115;47116	1141;19234;19235;22183;22184;22185;22186;22187;24788;29054;29055;44289;46543;46544;53677;53678;53679;53680;53742;53743;53744;53745;54766;54767;55573;57746;57747;57748;57749;57750;57751;57752;57753;57754;57755;64088;64089;64090;64091;64542;64543;64544;64545;64546;64547;64548;65065;65066;65067;65068;65069;71267;71268;71269;71270;71271;71272;71273;71274;71275;71276;71277;71278;71279;71280;71281;71282;71283;71284;72674;73338;73339;73340;73341;83345;83346;83347;83348;83349;84614;84615;84616	1141;19235;22184;24788;29054;44289;46543;46544;53679;53744;54766;55573;57749;57750;64088;64543;65066;65069;71270;71283;72674;73339;83347;84615			-1;-1;-1;-1;-1;-1
CON__P08779	CON__P08779	3	1	1				1	3	1	1	7.2	3.8	3.8	51.267	473	473	0	6.157	NaN	NaN	NaN	0	0	Median	10819000	10819000	0			+	7	7298;13146;15196	False;True;False	7361;13276;15345	21636;21637;38892;45757;45758	39084;39085;69626;82091;82092	39084;69626;82091			-1
CON__P13645;CON__P02535-1;CON__Q7Z3Y7;CON__Q3ZAW8;CON__Q9Z2K1;CON__Q148H6;CON__P19012;CON__Q2M2I5;CON__REFSEQ:XP_986630;CON__O76014;CON__Q7Z3Y9;CON__O76013;CON__Q7Z3Y8;CON__P08727;CON__P19001;CON__Q497I4;CON__A2AB72;CON__Q7Z3Z0;CON__Q14532;CON__P08730-1;CON__Q92764;CON__ENSEMBL:ENSP00000377550;CON__Q15323;CON__A2A5Y0;CON__Q9UE12;CON__Q14525;CON__O76015	CON__P13645	15;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	15;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0				27	15	15	13	32.4	32.4	29.7	59.51	593	593;570;486;474;469;464;456;525;476;471;468;467;459;400;403;455;453;450;448;437;425;420;416;416;416;404;456	0	95.803	NaN	NaN	NaN	1	0	Median	2734900000	2597900000	136990000			+	8	133;134;645;4541;6108;7298;7582;9884;10301;10514;12279;12578;12579;15196;15583	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	134;135;136;655;4576;6160;7361;7645;9982;10407;10620;12403;12706;12707;15345;15736	563;564;565;566;567;568;569;570;571;572;573;574;575;576;2154;2155;2156;13525;18194;18195;21636;21637;22411;22412;29473;29474;30774;31348;31349;31350;31351;31352;36309;36310;37174;37175;37176;37177;45757;45758;46940;46941	978;979;980;981;982;983;984;985;986;987;988;989;990;991;992;993;994;995;996;3998;3999;4000;4001;24722;33247;33248;39084;39085;40448;40449;53012;53013;55305;56327;56328;56329;56330;56331;56332;56333;64989;64990;66542;66543;66544;66545;82091;82092;84343;84344;84345	980;990;4000;24722;33248;39084;40449;53013;55305;56330;64990;66542;66543;82091;84343	1;2	271;291	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
CON__P35527	CON__P35527	17	17	17				1	17	17	17	50.7	50.7	50.7	62.129	623	623	0	236.42	NaN	NaN	NaN	0	0	Median	2597800000	2597800000	0			+	9	1593;2375;3665;4019;4049;4050;6052;9551;10558;10760;11626;11847;12796;13605;13623;15000;15580	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1610;2399;3696;4051;4081;4082;6104;9643;10665;10867;11740;11963;12924;12925;13740;13758;15149;15733	5057;7483;7484;7485;7486;7487;11127;11128;12119;12190;12191;12192;12193;18045;18046;28510;31525;31526;31527;31528;31529;32035;32036;34330;34331;34332;35025;37792;37793;37794;37795;40556;40557;40614;40615;40616;45159;46932;46933;46934	9354;9355;13718;13719;13720;13721;13722;13723;13724;20331;20332;22188;22339;22340;22341;22342;32966;32967;51279;56649;56650;56651;56652;56653;57531;57532;61441;61442;61443;62700;62701;67595;67596;67597;67598;72588;72589;72728;72729;72730;81029;84332;84333;84334;84335	9354;13724;20331;22188;22339;22341;32966;51279;56652;57532;61443;62701;67598;72589;72728;81029;84335	3;4	276;286	-1
